Sales Person,Country,Product,Date,Amount,Boxes Shipped,Revenue per Box,Month
Kaine Padly,Australia,Eclairs,2022-02-28,7672.0,115,67.0,2
Karlen McCaffrey,India,Fruit & Nut Bars,2022-01-26,168.0,321,1.0,1
Roddy Speechley,Canada,Spicy Special Slims,2022-02-09,1652.0,186,9.0,2
Husein Augar,USA,Eclairs,2022-07-07,4025.0,112,36.0,7
Dennison Crosswaite,New Zealand,White Choc,2022-07-05,9492.0,151,63.0,7
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2022-06-15,5061.0,301,17.0,6
Van Tuxwell,New Zealand,85% Dark Bars,2022-05-24,1722.0,121,14.0,5
Rafaelita Blaksland,UK,99% Dark & Pure,2022-06-29,12446.0,150,83.0,6
Wilone O'Kielt,Australia,Manuka Honey Choco,2022-05-11,4284.0,94,46.0,5
Karlen McCaffrey,UK,Almond Choco,2022-06-30,6839.0,133,51.0,6
Andria Kimpton,Canada,After Nines,2022-05-11,2163.0,70,31.0,5
Roddy Speechley,USA,Manuka Honey Choco,2022-07-22,9583.0,315,30.0,7
Andria Kimpton,UK,50% Dark Bites,2022-08-24,2653.0,314,8.0,8
Kelci Walkden,New Zealand,After Nines,2022-07-07,147.0,72,2.0,7
Camilla Castle,Australia,85% Dark Bars,2022-05-19,3654.0,14,261.0,5
Karlen McCaffrey,India,Manuka Honey Choco,2022-07-04,2443.0,581,4.0,7
Kelci Walkden,USA,After Nines,2022-06-02,938.0,16,59.0,6
Karlen McCaffrey,USA,Raspberry Choco,2022-04-15,14749.0,354,42.0,4
Mallorie Waber,Canada,Choco Coated Almonds,2022-07-11,4781.0,241,20.0,7
Andria Kimpton,India,Spicy Special Slims,2022-02-23,6307.0,142,44.0,2
Madelene Upcott,Canada,Almond Choco,2022-08-22,7602.0,102,75.0,8
Kaine Padly,USA,Peanut Butter Cubes,2022-02-16,6790.0,188,36.0,2
Van Tuxwell,USA,50% Dark Bites,2022-01-13,9737.0,160,61.0,1
Curtice Advani,Australia,Milk Bars,2022-02-14,6979.0,18,388.0,2
Roddy Speechley,India,Eclairs,2022-06-10,4382.0,303,14.0,6
Curtice Advani,India,Fruit & Nut Bars,2022-07-07,5243.0,176,30.0,7
Curtice Advani,Canada,Almond Choco,2022-03-24,4865.0,70,70.0,3
Brien Boise,Australia,Fruit & Nut Bars,2022-06-06,8575.0,23,373.0,6
Dotty Strutley,Australia,Drinking Coco,2022-07-19,91.0,135,1.0,7
Beverie Moffet,USA,Raspberry Choco,2022-04-19,14798.0,83,178.0,4
Marney O'Breen,India,85% Dark Bars,2022-07-19,2205.0,179,12.0,7
Jehu Rudeforth,Canada,Drinking Coco,2022-07-15,441.0,24,18.0,7
Ches Bonnell,New Zealand,Spicy Special Slims,2022-02-14,3556.0,18,198.0,2
Brien Boise,Canada,99% Dark & Pure,2022-05-18,16793.0,416,40.0,5
Barr Faughny,Australia,Fruit & Nut Bars,2022-06-30,15421.0,55,280.0,6
Andria Kimpton,Australia,50% Dark Bites,2022-06-02,4438.0,227,20.0,6
Andria Kimpton,Australia,Drinking Coco,2022-06-28,1603.0,48,33.0,6
Marney O'Breen,Australia,Organic Choco Syrup,2022-05-16,273.0,174,2.0,5
Kelci Walkden,Canada,Baker's Choco Chips,2022-05-26,3073.0,302,10.0,5
Karlen McCaffrey,India,Almond Choco,2022-07-06,6090.0,149,41.0,7
Oby Sorrel,India,99% Dark & Pure,2022-05-27,10255.0,11,932.0,5
Wilone O'Kielt,Australia,Caramel Stuffed Bars,2022-04-14,2030.0,11,185.0,4
Van Tuxwell,Australia,Organic Choco Syrup,2022-08-10,19453.0,14,1390.0,8
Camilla Castle,India,50% Dark Bites,2022-07-04,9275.0,411,23.0,7
Oby Sorrel,India,Organic Choco Syrup,2022-07-08,6181.0,56,110.0,7
Jan Morforth,USA,Peanut Butter Cubes,2022-07-22,9037.0,102,89.0,7
Gigi Bohling,USA,Choco Coated Almonds,2022-03-02,12313.0,103,120.0,3
Gigi Bohling,UK,Almond Choco,2022-01-10,5642.0,9,627.0,1
Jehu Rudeforth,New Zealand,White Choc,2022-03-11,2800.0,241,12.0,3
Andria Kimpton,New Zealand,Peanut Butter Cubes,2022-06-20,959.0,265,4.0,6
Van Tuxwell,UK,Organic Choco Syrup,2022-08-26,2002.0,214,9.0,8
Roddy Speechley,Canada,Milk Bars,2022-07-13,609.0,32,19.0,7
Camilla Castle,USA,Spicy Special Slims,2022-02-11,1274.0,244,5.0,2
Marney O'Breen,USA,Orange Choco,2022-01-27,7595.0,181,42.0,1
Van Tuxwell,UK,99% Dark & Pure,2022-01-31,4725.0,137,34.0,1
Camilla Castle,USA,White Choc,2022-08-18,9681.0,24,403.0,8
Andria Kimpton,USA,Raspberry Choco,2022-06-30,14504.0,21,691.0,6
Dotty Strutley,Australia,Fruit & Nut Bars,2022-08-23,280.0,311,1.0,8
Brien Boise,New Zealand,Mint Chip Choco,2022-08-01,63.0,181,0.0,8
Roddy Speechley,New Zealand,After Nines,2022-05-25,8001.0,10,800.0,5
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032.0,82,49.0,1
Dennison Crosswaite,Australia,70% Dark Bites,2022-02-07,5859.0,108,54.0,2
Karlen McCaffrey,USA,Orange Choco,2022-05-12,11095.0,401,28.0,5
Madelene Upcott,Australia,Spicy Special Slims,2022-03-07,7182.0,408,18.0,3
Dennison Crosswaite,Australia,85% Dark Bars,2022-04-05,6881.0,420,16.0,4
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348,21.0,1
Dennison Crosswaite,UK,Eclairs,2022-03-24,6188.0,270,23.0,3
Madelene Upcott,India,Raspberry Choco,2022-07-07,4221.0,9,469.0,7
Van Tuxwell,USA,After Nines,2022-07-26,630.0,264,2.0,7
Wilone O'Kielt,Australia,Organic Choco Syrup,2022-07-07,1743.0,111,16.0,7
Karlen McCaffrey,Canada,50% Dark Bites,2022-07-15,2919.0,65,45.0,7
Roddy Speechley,New Zealand,Orange Choco,2022-04-01,49.0,97,1.0,4
Beverie Moffet,Australia,Eclairs,2022-06-20,1827.0,6,304.0,6
Kelci Walkden,UK,Fruit & Nut Bars,2022-06-29,13006.0,482,27.0,6
Marney O'Breen,USA,50% Dark Bites,2022-06-15,1064.0,106,10.0,6
Husein Augar,USA,After Nines,2022-04-08,11571.0,180,64.0,4
Dennison Crosswaite,Australia,Raspberry Choco,2022-03-14,5740.0,31,185.0,3
Andria Kimpton,USA,Fruit & Nut Bars,2022-07-15,1456.0,359,4.0,7
Kelci Walkden,India,Eclairs,2022-04-19,5334.0,80,67.0,4
Marney O'Breen,USA,99% Dark & Pure,2022-03-28,4151.0,296,14.0,3
Brien Boise,Canada,Spicy Special Slims,2022-03-04,8106.0,101,80.0,3
Karlen McCaffrey,New Zealand,70% Dark Bites,2022-08-02,126.0,40,3.0,8
Husein Augar,UK,Spicy Special Slims,2022-08-25,4697.0,42,112.0,8
Marney O'Breen,USA,Almond Choco,2022-02-25,7798.0,167,47.0,2
Kelci Walkden,India,Orange Choco,2022-06-07,9408.0,138,68.0,6
Jan Morforth,India,Spicy Special Slims,2022-04-12,1939.0,520,4.0,4
Ches Bonnell,India,Spicy Special Slims,2022-07-06,10906.0,94,116.0,7
Kelci Walkden,UK,Smooth Sliky Salty,2022-01-19,5929.0,175,34.0,1
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92,61.0,1
Madelene Upcott,Canada,70% Dark Bites,2022-01-24,10927.0,141,77.0,1
Wilone O'Kielt,Australia,Drinking Coco,2022-04-06,623.0,283,2.0,4
Gunar Cockshoot,Australia,Fruit & Nut Bars,2022-06-15,6013.0,21,286.0,6
Gigi Bohling,Canada,Baker's Choco Chips,2022-01-28,1505.0,47,32.0,1
Kelci Walkden,India,Caramel Stuffed Bars,2022-03-16,476.0,125,4.0,3
Rafaelita Blaksland,Australia,Drinking Coco,2022-02-21,11550.0,396,29.0,2
Kelci Walkden,USA,Manuka Honey Choco,2022-02-16,17318.0,87,199.0,2
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27,68.0,1
Kelci Walkden,Australia,Eclairs,2022-03-23,7273.0,547,13.0,3
Curtice Advani,Canada,Spicy Special Slims,2022-06-16,854.0,118,7.0,6
Oby Sorrel,India,Raspberry Choco,2022-04-14,6832.0,46,149.0,4
Kelci Walkden,UK,Eclairs,2022-01-25,4606.0,57,81.0,1
Jan Morforth,India,Almond Choco,2022-03-11,4466.0,22,203.0,3
Dotty Strutley,UK,Almond Choco,2022-07-28,16114.0,96,168.0,7
Marney O'Breen,New Zealand,After Nines,2022-03-09,1561.0,44,35.0,3
Husein Augar,Australia,Orange Choco,2022-06-28,8897.0,188,47.0,6
Marney O'Breen,Australia,Milk Bars,2022-07-28,2464.0,387,6.0,7
Kelci Walkden,Canada,99% Dark & Pure,2022-08-15,4830.0,50,97.0,8
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264,10.0,1
Beverie Moffet,New Zealand,White Choc,2022-03-24,7126.0,7,1018.0,3
Van Tuxwell,UK,Milk Bars,2022-07-25,4263.0,90,47.0,7
Oby Sorrel,Canada,99% Dark & Pure,2022-08-01,3605.0,403,9.0,8
Van Tuxwell,India,Organic Choco Syrup,2022-05-16,19929.0,174,115.0,5
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140,36.0,8
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27,94.0,1
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663.0,110,51.0,7
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30,13.0,4
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121,91.0,4
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282.0,101,92.0,4
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117,16.0,8
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267.0,272,30.0,6
Ches Bonnell,Australia,Eclairs,2022-07-05,4116.0,128,32.0,7
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,2093.0,45,47.0,6
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27,38.0,1
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516.0,212,59.0,1
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18,153.0,1
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149,22.0,3
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048.0,477,13.0,4
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101.0,108,94.0,2
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282.0,178,13.0,3
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81,54.0,3
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798.0,196,40.0,1
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052.0,447,7.0,6
Gigi Bohling,UK,After Nines,2022-03-29,8029.0,175,46.0,3
Curtice Advani,Australia,Orange Choco,2022-07-12,854.0,136,6.0,7
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460.0,138,40.0,7
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184,16.0,1
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911.0,82,109.0,4
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12,600.0,2
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083.0,14,934.0,5
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104,27.0,7
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058.0,46,197.0,1
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549.0,112,32.0,7
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436.0,11,858.0,4
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283.0,21,490.0,2
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446.0,116,47.0,3
Ches Bonnell,Australia,White Choc,2022-03-02,1043.0,202,5.0,3
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586.0,6,2098.0,7
Kelci Walkden,India,After Nines,2022-01-07,1687.0,520,3.0,1
Brien Boise,UK,White Choc,2022-04-12,5299.0,167,32.0,4
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213.0,72,45.0,6
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418,12.0,1
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753.0,389,12.0,2
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26,527.0,3
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489.0,146,44.0,1
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324.0,41,227.0,3
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829.0,54,201.0,1
Barr Faughny,Australia,White Choc,2022-07-04,8113.0,370,22.0,7
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,3269.0,176,19.0,7
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273.0,210,1.0,8
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287.0,12,607.0,4
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159,16.0,2
Camilla Castle,UK,White Choc,2022-01-03,9982.0,187,53.0,1
Karlen McCaffrey,India,Drinking Coco,2022-05-31,4795.0,233,21.0,5
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,9310.0,282,33.0,1
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497.0,475,1.0,1
Barr Faughny,UK,50% Dark Bites,2022-01-28,581.0,65,9.0,1
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,3472.0,311,11.0,6
Husein Augar,UK,Choco Coated Almonds,2022-03-02,4333.0,43,101.0,3
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325.0,26,128.0,5
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718.0,84,140.0,6
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,2100.0,78,27.0,6
Kaine Padly,USA,70% Dark Bites,2022-05-12,4018.0,100,40.0,5
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468.0,66,98.0,7
Dennison Crosswaite,UK,White Choc,2022-08-03,7238.0,265,27.0,8
Barr Faughny,India,Baker's Choco Chips,2022-08-18,6454.0,141,46.0,8
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,3115.0,42,74.0,6
Beverie Moffet,UK,White Choc,2022-06-30,6475.0,76,85.0,6
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,1162.0,190,6.0,6
Ches Bonnell,UK,Orange Choco,2022-04-27,14238.0,54,264.0,4
Jan Morforth,Australia,White Choc,2022-07-27,3472.0,32,108.0,7
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428.0,424,3.0,4
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,8064.0,134,60.0,1
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660.0,92,105.0,2
Karlen McCaffrey,Australia,White Choc,2022-01-05,7357.0,48,153.0,1
Beverie Moffet,India,Drinking Coco,2022-07-15,6055.0,46,132.0,7
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,5124.0,62,83.0,5
Karlen McCaffrey,Canada,Eclairs,2022-04-20,3479.0,358,10.0,4
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784.0,249,3.0,6
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,18991.0,88,216.0,5
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,1372.0,144,10.0,8
Beverie Moffet,Australia,Milk Bars,2022-05-25,735.0,390,2.0,5
Van Tuxwell,UK,Raspberry Choco,2022-03-16,6538.0,79,83.0,3
Jan Morforth,Australia,Orange Choco,2022-07-04,3199.0,122,26.0,7
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,3472.0,135,26.0,7
Madelene Upcott,USA,After Nines,2022-03-15,4571.0,430,11.0,3
Barr Faughny,UK,Raspberry Choco,2022-08-22,5481.0,69,79.0,8
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136.0,125,25.0,1
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,252.0,154,2.0,6
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460.0,286,19.0,3
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395.0,99,34.0,7
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,14938.0,433,34.0,4
Roddy Speechley,India,Orange Choco,2022-06-27,4053.0,19,213.0,6
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565.0,258,22.0,4
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161.0,92,78.0,3
Madelene Upcott,USA,Eclairs,2022-03-18,8883.0,200,44.0,3
Brien Boise,India,Eclairs,2022-04-29,1351.0,61,22.0,4
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171.0,246,13.0,2
Husein Augar,USA,Milk Bars,2022-03-02,854.0,56,15.0,3
Van Tuxwell,Australia,Milk Bars,2022-06-20,7910.0,87,91.0,6
Beverie Moffet,Canada,White Choc,2022-07-15,9275.0,173,54.0,7
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,3108.0,252,12.0,5
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,5075.0,256,20.0,7
Husein Augar,USA,85% Dark Bars,2022-08-08,378.0,54,7.0,8
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350.0,6,1225.0,7
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,3388.0,55,62.0,5
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837.0,277,43.0,7
Curtice Advani,India,70% Dark Bites,2022-07-05,2282.0,44,52.0,7
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,5425.0,96,57.0,7
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267.0,216,6.0,6
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752.0,424,9.0,1
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,7728.0,37,209.0,7
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296.0,59,39.0,4
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,4403.0,76,58.0,5
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,3192.0,109,29.0,8
Beverie Moffet,India,70% Dark Bites,2022-06-01,448.0,146,3.0,6
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,4270.0,185,23.0,4
Kaine Padly,USA,50% Dark Bites,2022-08-03,70.0,27,3.0,8
Ches Bonnell,USA,Orange Choco,2022-06-10,1743.0,69,25.0,6
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,6762.0,46,147.0,6
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,3745.0,170,22.0,1
Marney O'Breen,India,After Nines,2022-07-11,2639.0,179,15.0,7
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389.0,126,35.0,8
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,2604.0,65,40.0,1
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,16569.0,99,167.0,3
Mallorie Waber,Australia,Orange Choco,2022-03-07,14658.0,275,53.0,3
Husein Augar,India,70% Dark Bites,2022-05-09,6454.0,157,41.0,5
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100.0,157,13.0,5
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161.0,145,1.0,4
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807.0,139,20.0,7
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639.0,406,6.0,8
Ches Bonnell,USA,70% Dark Bites,2022-05-11,4571.0,122,37.0,5
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781.0,38,126.0,1
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034.0,117,111.0,4
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,6454.0,417,15.0,4
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,8484.0,57,149.0,6
Brien Boise,Canada,Almond Choco,2022-04-13,4781.0,125,38.0,4
Beverie Moffet,Australia,White Choc,2022-06-27,2240.0,166,13.0,6
Dotty Strutley,Australia,Eclairs,2022-01-26,6979.0,3,2326.0,1
Barr Faughny,UK,White Choc,2022-07-05,1652.0,72,23.0,7
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,13447.0,95,142.0,1
Kelci Walkden,USA,White Choc,2022-03-07,9422.0,22,428.0,3
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687.0,100,87.0,3
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,2415.0,312,8.0,7
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,6272.0,86,73.0,5
Karlen McCaffrey,USA,Milk Bars,2022-01-27,4389.0,7,627.0,1
Karlen McCaffrey,India,Orange Choco,2022-06-27,3122.0,149,21.0,6
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,8043.0,18,447.0,8
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,11662.0,242,48.0,8
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,392.0,102,4.0,6
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,8925.0,158,56.0,2
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,7294.0,128,57.0,7
Dennison Crosswaite,India,Milk Bars,2022-04-21,1526.0,96,16.0,4
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,2688.0,209,13.0,4
Husein Augar,Australia,50% Dark Bites,2022-08-19,14889.0,52,286.0,8
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,2912.0,55,53.0,5
Mallorie Waber,USA,85% Dark Bars,2022-05-11,2632.0,108,24.0,5
Mallorie Waber,USA,Eclairs,2022-03-22,6328.0,51,124.0,3
Dennison Crosswaite,Canada,Spicy Special Slims,2022-08-10,2527.0,216,12.0,8
Dennison Crosswaite,USA,Fruit & Nut Bars,2022-05-04,1414.0,318,4.0,5
Kelci Walkden,USA,99% Dark & Pure,2022-08-18,7714.0,238,32.0,8
Dotty Strutley,Canada,Raspberry Choco,2022-08-03,4347.0,238,18.0,8
Marney O'Breen,New Zealand,Milk Bars,2022-01-14,7490.0,315,24.0,1
Madelene Upcott,Australia,Choco Coated Almonds,2022-04-08,2058.0,72,29.0,4
Kelci Walkden,UK,Orange Choco,2022-08-01,3640.0,3,1213.0,8
Dennison Crosswaite,Canada,Eclairs,2022-03-15,455.0,45,10.0,3
Karlen McCaffrey,India,Mint Chip Choco,2022-07-15,10990.0,184,60.0,7
Barr Faughny,New Zealand,Almond Choco,2022-01-13,5558.0,127,44.0,1
Mallorie Waber,Australia,85% Dark Bars,2022-08-26,2541.0,53,48.0,8
Ches Bonnell,Canada,Eclairs,2022-01-10,1876.0,172,11.0,1
Gigi Bohling,Australia,White Choc,2022-05-11,5523.0,87,63.0,5
Beverie Moffet,New Zealand,85% Dark Bars,2022-08-30,11200.0,22,509.0,8
Kaine Padly,USA,Caramel Stuffed Bars,2022-07-21,5593.0,122,46.0,7
Mallorie Waber,Australia,Almond Choco,2022-08-01,7882.0,125,63.0,8
Brien Boise,Canada,85% Dark Bars,2022-02-17,10241.0,259,40.0,2
Brien Boise,Australia,Drinking Coco,2022-07-27,6832.0,156,44.0,7
Dotty Strutley,USA,Orange Choco,2022-02-23,1379.0,107,13.0,2
Rafaelita Blaksland,Australia,50% Dark Bites,2022-03-22,3010.0,40,75.0,3
Dennison Crosswaite,India,99% Dark & Pure,2022-06-23,6888.0,311,22.0,6
Curtice Advani,UK,White Choc,2022-02-01,1540.0,73,21.0,2
Kelci Walkden,Australia,After Nines,2022-03-02,6916.0,288,24.0,3
Gigi Bohling,UK,Fruit & Nut Bars,2022-04-06,1232.0,86,14.0,4
Gunar Cockshoot,Australia,Raspberry Choco,2022-03-17,602.0,72,8.0,3
Curtice Advani,UK,Fruit & Nut Bars,2022-06-24,10927.0,136,80.0,6
Barr Faughny,Canada,50% Dark Bites,2022-07-19,10185.0,303,34.0,7
Curtice Advani,USA,Spicy Special Slims,2022-07-11,1603.0,264,6.0,7
Brien Boise,India,Almond Choco,2022-01-13,2170.0,218,10.0,1
Oby Sorrel,New Zealand,Smooth Sliky Salty,2022-07-07,8673.0,60,145.0,7
Jan Morforth,India,85% Dark Bars,2022-05-25,4760.0,418,11.0,5
Marney O'Breen,India,Fruit & Nut Bars,2022-04-13,4753.0,151,31.0,4
Andria Kimpton,New Zealand,50% Dark Bites,2022-03-02,3374.0,202,17.0,3
Gunar Cockshoot,Canada,Raspberry Choco,2022-06-23,2058.0,126,16.0,6
Kelci Walkden,USA,Drinking Coco,2022-07-26,6454.0,160,40.0,7
Van Tuxwell,Canada,White Choc,2022-03-22,420.0,3,140.0,3
Rafaelita Blaksland,USA,Baker's Choco Chips,2022-06-09,2863.0,58,49.0,6
Van Tuxwell,Australia,Caramel Stuffed Bars,2022-05-17,5936.0,59,101.0,5
Ches Bonnell,New Zealand,Peanut Butter Cubes,2022-03-04,889.0,273,3.0,3
Kelci Walkden,Canada,Milk Bars,2022-07-07,16016.0,28,572.0,7
Dennison Crosswaite,Canada,Choco Coated Almonds,2022-01-13,10479.0,118,89.0,1
Curtice Advani,Australia,Almond Choco,2022-07-13,2912.0,75,39.0,7
